noteType,noteDirection,index,id,time,cutType,multiplier,score/0,score/1,score/2,timeDeviation,speed,preswing,postswing,distanceToCenter,cutPoint/0,cutPoint/1,cutPoint/2,saberDir/0,saberDir/1,saberDir/2,cutNormal/0,cutNormal/1,cutNormal/2,timeDependence
1,1,1,46,15.4193335,0,8,70,12,30,0.0163793564,23.3855419,1.22530818,1.24267972,0.0605331063,-0.354133576,0.9095048,1.18419981,0.441627562,-0.8883052,-0.12601161,-0.894280434,-0.405597925,-0.189084709,0.189084709
1,4,4,47,15.5304451,0,8,70,13,30,0.002368927,35.9202423,1.10873508,1.77993178,0.0328990221,-0.877073169,1.50679016,0.913799763,-0.717501044,0.6827784,0.137862161,0.6968865,0.664455652,0.26990363,0.26990363
0,1,2,48,15.6415558,0,8,70,13,30,0.0169219971,29.11631,1.58428907,1.71792889,0.03159099,0.270194769,0.944449365,1.20646036,-0.318625718,-0.9268919,-0.1983658,-0.9434726,0.330904782,0.0190143734,0.0190143734
1,1,1,49,15.7526665,0,8,70,12,30,0.00315475464,34.02717,1.39614213,1.46793985,0.05901876,-0.3566092,0.9209477,0.906672835,0.247901782,-0.9662699,-0.0697646439,-0.959172666,-0.236926034,-0.154446885,0.154446885
0,0,7,50,15.8637781,0,8,70,9,30,0.0163660049,28.519743,1.23402381,1.3296293,0.110800028,0.8125013,1.54895151,1.214406,0.594177663,0.802274942,-0.057513427,0.7896997,-0.5922435,-0.160069644,0.160069644
1,0,5,51,16.086,0,8,70,11,30,0.0165424347,26.5022659,1.13127577,1.85327458,0.07326013,-0.3688778,1.45872653,1.19880664,-0.346154541,0.906820655,0.240527317,0.9401812,0.335366726,0.0599045157,0.0599045157
0,1,3,52,16.3082218,0,8,70,8,30,0.0034122467,21.9345512,1.44000483,1.67457247,0.133146644,0.7758144,0.8873265,0.9364689,0.3512325,-0.8959753,-0.271779329,-0.9326983,-0.3574894,0.0476989448,0.0476989448
1,7,2,53,16.5304451,0,8,70,15,30,0.0166511536,24.71991,1.575253,1.36696327,0.00111091137,0.300501823,0.934996963,1.23651171,0.896927238,-0.411307842,-0.162318632,-0.4517031,-0.8735324,-0.181399226,0.181399226
0,0,7,54,16.7526665,0,8,70,10,30,0.0027885437,24.5258083,1.34523451,1.43117189,0.103175633,0.8055506,1.52309823,0.9740961,0.3952177,0.9073679,0.143130779,0.9154239,-0.370060146,-0.1582859,0.1582859
1,4,4,55,16.97489,0,8,70,15,30,0.0170040131,24.0637512,1.28994644,1.51112545,0.002090633,-0.9012733,1.48161888,1.22328913,-0.7213308,0.65153563,-0.234911129,0.6090292,0.756843448,0.237216279,0.237216279
0,1,2,56,17.1971111,0,8,70,13,30,0.0170574188,18.9100189,1.16084027,1.5959816,0.0427636951,0.25772956,0.9402542,1.19476151,-0.104807071,-0.985587656,-0.132786855,-0.988466,0.146713138,-0.037552163,0.037552163
1,1,1,57,17.4193344,0,8,70,14,30,0.00331878662,20.03947,1.34337139,1.41621828,0.0119145513,-0.3118472,0.933891356,0.89899826,0.08110282,-0.9943866,-0.0679526255,-0.99434644,-0.08692942,-0.06097907,0.06097907
0,0,6,58,17.6415558,0,8,70,10,30,0.0305938721,21.37004,1.162321,1.62560809,0.09690383,0.206029981,1.50091136,1.46694577,0.167580724,0.9268559,0.335938752,0.9697248,-0.223470032,0.09846449,0.09846449
1,0,4,59,17.8637772,0,8,70,10,30,0.00342559814,23.5989361,1.17436087,1.66642332,0.09205964,-0.8242347,1.5320251,0.908579469,-0.480773866,0.8562373,-0.188982,0.823002636,0.511974335,0.246067047,0.246067047
0,6,1,60,18.086,0,8,70,11,30,0.04571724,19.3683281,1.21844947,1.5405426,0.07763648,-0.359912,0.976860642,1.76327956,-0.6216924,-0.7754208,-0.110549606,-0.771699131,0.6307089,-0.081773214,0.081773214
1,1,0,61,18.3082218,0,8,70,8,30,0.0174503326,20.5961189,1.30103552,1.54162371,0.140673041,-1.03113079,0.9599478,1.1420356,-0.09082276,-0.9474392,-0.3067738,-0.932166934,0.184921578,-0.3112377,0.3112377
0,5,7,62,18.5304451,0,8,70,14,30,0.03129959,20.73491,1.408878,1.30512881,0.0135228634,0.907422543,1.46785867,1.48280549,0.838341057,0.5448727,0.0172673985,0.5488841,-0.8231459,-0.1454556,0.1454556
1,0,4,63,18.7526665,0,8,70,13,30,0.003643036,22.08346,1.2312814,1.3933717,0.0394474864,-0.9322625,1.46722007,0.888434231,-0.459915042,0.880177,-0.117330685,0.8178587,0.447773278,0.3613951,0.3613951
0,1,2,64,18.97489,0,8,70,14,30,0.00418663025,18.1088982,1.20625043,1.60371411,0.027308017,0.327246,0.935852349,0.9099524,0.08467955,-0.970394552,-0.226194352,-0.997728467,-0.0346864,-0.0577475876,0.0577475876
1,1,1,65,19.1971111,0,8,70,13,30,0.0041179657,18.62883,1.25476778,1.51082909,0.0480444357,-0.347476929,0.9318917,0.912977,0.07894998,-0.967666864,-0.239557326,-0.9881878,-0.0627615,-0.1398068,0.1398068
0,5,7,66,19.4193344,0,8,70,9,30,0.0182113647,20.7259541,1.26539552,1.58182776,0.114760578,0.8170224,1.56186569,1.23170435,0.6958725,0.689284444,0.201614738,0.7230501,-0.6877259,-0.06505201,0.06505201
1,4,4,67,19.6415558,0,8,70,14,30,0.004348755,22.3021164,1.23406279,1.431808,0.019577384,-0.9139948,1.47251225,0.9148675,-0.6732228,0.7394076,-0.0068869777,0.714844,0.6301578,0.3031489,0.3031489
0,6,1,68,19.8637772,0,8,70,11,30,0.0186843872,23.4999065,1.40772843,1.3766495,0.0861007,-0.3529542,1.00129974,1.20492113,-0.7285301,-0.6052869,-0.32073608,-0.615026355,0.784154058,-0.082735084,0.082735084
1,7,2,69,20.086,0,8,70,15,30,0.0318012238,25.8601055,1.43233359,1.14580381,0.000258922577,0.299860567,0.93132627,1.49425817,0.840568066,-0.5086095,-0.186445147,-0.5385023,-0.8390285,-0.07775911,0.07775911
0,5,7,70,20.3082218,0,8,70,13,30,0.03270912,25.87669,1.308087,1.83993113,0.04078722,0.8745691,1.51007378,1.52699852,0.774229467,0.6246391,-0.101955079,0.6235024,-0.7755879,-0.09853154,0.09853154
0,1,10,71,20.5304451,0,8,63,14,30,0.0322761536,25.4285774,0.8931203,2.40069556,0.0145599544,0.3144499,1.9754591,1.51088274,-0.104905739,-0.595268,0.7966497,-0.9924419,0.0398324579,-0.116071731,0.116071731
0,8,2,72,20.5397778,0,8,70,12,30,0.0135326385,40.9516,1.43859875,1.54106188,0.0565844476,0.244416475,0.9420673,1.10610437,-0.116322413,-0.986812353,-0.112563141,-0.9823113,0.136475667,-0.128214866,0.128214866
1,0,4,73,20.6044445,0,8,70,11,30,0.0236339569,25.9244957,1.29282022,2.00618076,0.07368083,-0.8364217,1.51458693,1.34127116,-0.454269052,0.890286148,-0.0320969,0.862888336,0.448270619,0.233403355,0.233403355
1,8,8,74,20.6137772,0,8,70,15,30,0.0184402466,27.8029346,1.51237452,1.55350423,0.009069644,-0.891506135,1.98401833,1.21781945,-0.114653818,0.9478477,-0.2973872,0.9365213,0.216905713,0.2754629,0.2754629
0,0,7,75,20.6786671,0,8,70,9,30,0.04219246,51.3557625,1.17360485,2.522953,0.127178416,1.01675761,1.44256127,1.68432724,0.346118659,0.870189965,0.350672722,0.918061137,-0.248049274,-0.30924955,0.30924955
0,8,11,76,20.6877785,0,8,70,10,30,0.0372657776,51.16781,1.44623089,2.13751173,0.09470262,0.990515947,1.96345806,1.59390342,0.07989218,0.995743155,-0.0459661633,0.9557912,-0.101455316,-0.2759893,0.2759893
1,1,9,77,20.7526665,0,8,63,4,30,0.0191459656,37.79796,0.9043385,2.01518416,0.21167253,-0.5096816,1.98829281,1.20196068,-0.131366357,-0.484762,0.864724636,-0.990594268,0.030561626,-0.133375585,0.133375585
1,8,1,78,20.762001,0,8,70,13,30,-0.000205993652,41.7855263,1.41862869,1.13981426,0.048513446,-0.252733648,0.9458439,0.8206711,0.239661515,-0.970425963,0.028909741,-0.974294543,-0.224260613,0.0213880986,0.0213880986
0,1,7,79,20.8266678,0,8,70,2,30,0.0379714966,48.5990944,1.38400912,1.8702935,0.26546824,1.14341366,1.5062567,1.52240825,0.247561127,-0.920155764,0.303359479,-0.916922152,-0.113329679,0.382635951,0.382635951
0,8,3,80,20.836,0,8,70,7,30,0.0330219269,48.4946671,1.661731,1.40756857,0.15827848,1.04678214,0.9226004,1.45937586,-0.07031886,-0.996345,-0.0484963171,-0.927365959,0.0548117161,0.370119,0.370119
1,0,4,81,20.9008884,0,8,70,14,30,0.0142917633,42.99387,1.05743754,2.09217548,0.0190070011,-0.91698724,1.47851336,1.12755823,-0.27822423,0.9593836,-0.0466303378,0.893734336,0.273869842,0.355294645,0.355294645
1,8,8,82,20.91,0,8,70,8,30,0.0100975037,42.7140121,1.28890312,1.72526324,0.140570879,-1.0243082,1.94270146,0.9966736,-0.178955883,0.9186616,-0.352187,0.8843099,0.294438779,0.362356126,0.362356126
0,0,7,83,20.97489,0,8,70,12,30,0.0332393646,45.124588,1.08303189,1.8935262,0.0552299246,0.9505961,1.46250629,1.51785386,0.36857155,0.8894306,0.2703115,0.916098535,-0.28463003,-0.282399237,0.282399237
0,0,11,84,20.97489,0,8,70,7,30,0.01956749,44.90404,1.33490443,1.47369194,0.1505655,1.03494334,1.93313313,1.20027733,0.321938932,0.940389931,-0.109645449,0.8962428,-0.329990655,-0.2964035,0.2964035
0,1,2,85,21.2028885,0,8,70,14,30,0.0252761841,38.626564,1.43953514,1.3470211,0.02324636,0.277481884,0.938575864,1.36051452,-0.244217739,-0.9439587,-0.2220353,-0.968672931,0.248319522,0.00320759416,0.00320759416
1,1,1,86,21.2584457,0,8,70,7,30,0.0246810913,34.08953,1.54733431,1.53403938,0.163859323,-0.4521019,0.8850326,1.31108952,0.3101096,-0.9504179,-0.0231923647,-0.9282467,-0.29214865,-0.2302331,0.2302331
0,5,11,87,21.3140011,0,8,70,15,30,0.0254268646,48.3483,1.35019422,1.29500628,0.006022364,0.9052168,1.97658455,1.36457193,0.462368757,0.8726152,-0.157346547,0.8662326,-0.471689224,-0.1647743,0.1647743
