noteType,noteDirection,index,id,time,cutType,multiplier,score/0,score/1,score/2,timeDeviation,speed,preswing,postswing,distanceToCenter,cutPoint/0,cutPoint/1,cutPoint/2,saberDir/0,saberDir/1,saberDir/2,cutNormal/0,cutNormal/1,cutNormal/2,timeDependence
0,8,0,57,14.208333,0,8,70,12,30,0.00354671478,25.77035,1.34190977,1.36034,0.05021602,-0.92344445,0.9775906,0.9787516,-0.688810468,-0.517343163,-0.507834733,-0.4668717,0.849631,-0.24527131,0.24527131
1,8,1,58,14.6527777,0,8,70,13,30,0.00240039825,22.5030937,1.08637667,2.22785735,0.03402333,-0.3320531,0.9243024,0.972008,-0.270159721,0.4612579,0.845136,0.9420911,0.312853873,0.120775968,0.120775968
0,8,2,59,14.6527777,0,8,70,13,30,0.00240039825,24.5745964,1.22343445,2.30361652,0.0308695436,0.272911638,0.9490248,0.980695069,0.3908697,0.5191919,0.760039866,0.8775114,-0.4560499,-0.148298264,0.148298264
1,8,2,60,15.0972223,0,8,70,15,30,0.0175161362,27.1451416,1.5560739,1.68665087,0.009024203,0.293065876,0.9282402,1.25829232,0.6218985,-0.735949337,-0.2676207,-0.7683938,-0.63972193,-0.018082872,0.018082872
0,8,3,61,15.0972223,0,8,70,13,30,0.0175161362,24.1231213,1.34874642,1.95993114,0.047903657,0.85962075,0.908240139,1.25860214,0.544270635,-0.8120742,-0.2104874,-0.842927158,-0.538018942,0.00306069851,0.00306069851
1,8,1,62,15.541667,0,8,70,12,30,0.00232028961,24.9013081,1.10186017,2.599879,0.0526971668,-0.25076735,0.9519133,1.002926,-0.337772429,0.631407738,0.698021531,0.9342564,0.321942627,0.1533557,0.1533557
0,8,2,63,15.541667,0,8,70,15,30,0.00232028961,29.2763939,1.2383101,2.36856413,0.009852618,0.290385038,0.937043369,0.9943597,0.1394343,0.745375037,0.6519004,0.975880861,-0.212684348,0.04921627,0.04921627
1,8,5,64,15.9861107,0,8,70,13,30,0.0453395844,24.9617844,1.42161846,2.02741051,0.0423200279,-0.342237473,1.47997093,1.796171,-0.04069376,-0.9663034,0.254168659,-0.998048961,0.0216301978,-0.0585700348,0.0585700348
0,8,7,65,15.9861107,0,8,70,12,30,0.0453395844,24.104311,1.318032,2.06460285,0.05616665,0.8458971,1.46834123,1.80926883,0.239161178,-0.9343044,0.264343083,-0.963257432,-0.190759465,0.189065874,0.189065874
1,8,1,66,15.9861107,0,8,70,15,30,0.01761055,24.8420143,1.661367,1.62783,0.00367169082,-0.3036638,0.9339471,1.24547446,0.02555203,-0.981250167,-0.191037282,-0.99784255,-0.0151890591,-0.06387183,0.06387183
0,8,3,67,15.9861107,0,8,70,11,30,0.01761055,25.0364552,1.55912614,1.6627773,0.08255768,0.819927454,0.921447,1.26140928,0.112408035,-0.9723113,-0.2048783,-0.96989876,-0.152086228,0.1901743,0.1901743
1,8,6,68,16.3194447,0,8,70,14,30,0.0167388916,28.4798069,1.20387709,2.1868217,0.0178059116,0.31677112,1.48379123,1.24105942,0.100043491,0.9386402,0.330069631,0.941884637,0.0220895261,-0.3352096,0.3352096
0,8,7,69,16.3194447,0,8,70,15,30,0.0167388916,26.1732388,1.23400068,1.72870111,0.002647847,0.8975243,1.48411965,1.24762893,0.341133177,0.893134534,0.2931534,0.934999466,-0.2725438,-0.226927727,0.226927727
0,8,1,70,16.76389,0,8,70,14,30,0.0326061249,20.6632633,1.32888258,1.776995,0.0235530734,-0.3185772,0.9458968,1.53186858,-0.5860945,-0.7947709,-0.157583371,-0.788737833,0.6041198,-0.113719061,0.113719061
1,8,0,71,16.76389,0,8,70,11,30,0.00382041931,23.6729412,1.63241148,1.71959245,0.070286274,-0.8367866,0.907715857,0.9756544,-0.2899689,-0.8806178,-0.374740422,-0.899370432,0.387037337,-0.203310132,0.203310132
1,8,10,72,17.208334,0,8,70,14,30,0.003955841,30.425005,1.5399754,1.9895066,0.0270503461,0.275147974,1.98959982,0.968900144,0.0577648543,0.950341046,-0.305802435,0.9187328,-0.175897568,-0.353539258,0.353539258
0,8,11,73,17.208334,0,8,70,13,30,0.003955841,29.45443,1.66777039,1.408344,0.0381994843,0.9332893,1.967531,0.952169836,0.35514456,0.852414131,-0.383747816,0.871458,-0.453167021,-0.187618852,0.187618852
1,8,1,74,17.6527786,0,8,70,15,30,0.0319461823,22.172617,1.64405048,1.61268079,0.000875592232,-0.300846726,0.9320224,1.52468634,-0.260596633,-0.958354056,-0.116819926,-0.9670272,0.253995925,0.0185644776,0.0185644776
0,8,3,75,17.6527786,0,8,70,9,30,0.0045681,21.1384735,1.63437569,1.6813761,0.11906451,0.788998067,0.893315732,0.990970969,0.338929474,-0.8983824,-0.27934888,-0.9322845,-0.34925732,0.09415598,0.09415598
